,lat,lon,total,geometry,type
0,3.6132029082072425,-76.39160916103486,1030,POINT (-76.39160916103486 3.613202908207243),top_pagerank
1,3.6148576339905443,-76.39109324214469,529,POINT (-76.39109324214469 3.614857633990544),top_pagerank
2,3.54217468142911,-76.27370996280986,431,POINT (-76.27370996280986 3.54217468142911),top_pagerank
3,3.5399728925013902,-76.27551523575794,287,POINT (-76.27551523575794 3.53997289250139),top_pagerank
4,3.5467584956092044,-76.26392227528196,249,POINT (-76.26392227528196 3.546758495609204),top_pagerank
5,3.6041065851316754,-76.27818816177808,195,POINT (-76.27818816177808 3.604106585131675),top_pagerank
6,3.6253787987231427,-76.38996784314483,128,POINT (-76.38996784314483 3.625378798723143),top_pagerank
7,3.615332624051019,-76.38881277466878,108,POINT (-76.38881277466878 3.615332624051019),top_pagerank
8,3.4789522935311523,-76.48356549916765,30,POINT (-76.48356549916765 3.478952293531152),top_pagerank
9,3.4800915052284673,-76.48194030792348,30,POINT (-76.48194030792348 3.480091505228467),top_pagerank
10,3.4561848129674906,-76.46907253581716,19,POINT (-76.46907253581716 3.456184812967491),top_pagerank
11,3.4890879018428205,-76.46289953649135,18,POINT (-76.46289953649135 3.48908790184282),top_pagerank
12,3.4784858783747805,-76.48186081323362,1,POINT (-76.48186081323362 3.478485878374781),top_contacts
13,3.4771006846582653,-76.48022425276656,1,POINT (-76.48022425276656 3.477100684658265),top_contacts
14,3.520360489841135,-76.28012449606348,1,POINT (-76.28012449606348 3.520360489841135),top_contacts
15,3.5534370850458163,-76.28569928044153,1,POINT (-76.28569928044153 3.553437085045816),top_contacts
16,3.539019840733025,-76.310158592111,1,POINT (-76.31015859211099 3.539019840733025),top_contacts
17,3.4963783726054674,-76.49552206702798,1,POINT (-76.49552206702798 3.496378372605467),top_contacts
18,3.524519740656723,-76.31237382158834,1,POINT (-76.31237382158834 3.524519740656723),top_contacts
19,3.523404168201083,-76.31168470665298,1,POINT (-76.31168470665298 3.523404168201083),top_contacts
20,3.53144360117069,-76.29469958366269,1,POINT (-76.29469958366269 3.53144360117069),top_contacts
21,3.5336795108314147,-76.29412033116903,1,POINT (-76.29412033116903 3.533679510831415),top_contacts
22,3.5414078789529193,-76.31107162835013,1,POINT (-76.31107162835013 3.541407878952919),top_contacts
23,3.463656918479531,-76.48506409361404,1,POINT (-76.48506409361404 3.463656918479531),top_contacts
24,3.5431285494962346,-76.31649585333082,1,POINT (-76.31649585333082 3.543128549496235),top_contacts
25,3.477171836826294,-76.4814458805858,1,POINT (-76.4814458805858 3.477171836826294),top_contacts
26,3.5559040508055566,-76.28552298271228,1,POINT (-76.28552298271228 3.555904050805557),top_contacts
27,3.4632054,-76.4865705,1,POINT (-76.4865705 3.4632054),pagerank_trace
28,3.4787507,-76.4809816,1,POINT (-76.48098160000001 3.4787507),pagerank_trace
29,3.47875785,-76.4809728,1,POINT (-76.4809728 3.47875785),pagerank_trace
30,3.4787652333333337,-76.48096643333334,1,POINT (-76.48096643333334 3.478765233333334),pagerank_trace
31,3.4969596,-76.4953925,1,POINT (-76.49539249999999 3.4969596),pagerank_trace
32,3.518376,-76.278565,1,POINT (-76.278565 3.518376),pagerank_trace
33,3.5237494,-76.3120588,1,POINT (-76.3120588 3.5237494),pagerank_trace
34,3.5237657,-76.3120605,1,POINT (-76.3120605 3.5237657),pagerank_trace
35,3.532021433333333,-76.29557473333332,1,POINT (-76.29557473333332 3.532021433333333),pagerank_trace
36,3.5321259333333335,-76.29556811111112,1,POINT (-76.29556811111112 3.532125933333333),pagerank_trace
37,3.540199,-76.3103017,1,POINT (-76.3103017 3.540199),pagerank_trace
38,3.5403587,-76.3100627,1,POINT (-76.3100627 3.5403587),pagerank_trace
39,3.5427404,-76.3176026,1,POINT (-76.3176026 3.5427404),pagerank_trace
40,3.5527271,-76.2851659,1,POINT (-76.2851659 3.5527271),pagerank_trace
41,3.5530810909090906,-76.28530348181818,1,POINT (-76.28530348181818 3.553081090909091),pagerank_trace
